LGA_CODE_2021,G01_Tot_P_M,G01_Tot_P_F,G01_Age_0_4_yr_M,G01_Age_0_4_yr_F,G01_Age_0_4_yr_P,G01_Age_5_14_yr_M,G01_Age_5_14_yr_F,G01_Age_5_14_yr_P,G01_Age_15_19_yr_M,G01_Age_15_19_yr_F,G01_Age_15_19_yr_P,G01_Age_20_24_yr_M,G01_Age_20_24_yr_F,G01_Age_20_24_yr_P,G01_Age_25_34_yr_M,G01_Age_25_34_yr_F,G01_Age_25_34_yr_P,G01_Age_35_44_yr_M,G01_Age_35_44_yr_F,G01_Age_35_44_yr_P,G01_Age_45_54_yr_M,G01_Age_45_54_yr_F,G01_Age_45_54_yr_P,G01_Age_55_64_yr_M,G01_Age_55_64_yr_F,G01_Age_55_64_yr_P,G01_Age_65_74_yr_M,G01_Age_65_74_yr_F,G01_Age_65_74_yr_P,G01_Age_75_84_yr_M,G01_Age_75_84_yr_F,G01_Age_75_84_yr_P,G01_Age_85ov_M,G01_Age_85ov_F,G01_Age_85ov_P,G01_Indigenous_P_Tot_M,G01_Indigenous_P_Tot_F,G06_P_Tot_Marrd_reg_marrge,G06_P_Tot_Married_de_facto,G06_P_Tot_Not_married,G29_CF_ChU15_a_Total_F,G29_CF_no_ChU15_a_Total_F
LGA15900,82975,85893,4504,4285,8792,9583,8982,18563,4882,4839,9722,7136,7288,14428,13579,13360,26941,10853,11002,21852,10112,10549,20660,9410,9857,19267,7367,7901,15262,4027,4940,8967,1537,2883,4421,3649,3762,50285,17599,59151,11975,5165
LGA15950,32443,36505,1753,1682,3435,2663,2627,5293,1103,1041,2145,1567,1800,3361,6758,7889,14656,5918,6419,12343,4115,4682,8800,3458,3975,7436,2896,3522,6417,1742,2110,3848,470,755,1226,131,150,21942,9607,23542,4649,1440
LGA15990,128929,134623,7237,6930,14169,17828,16735,34559,8455,7811,16263,7175,6568,13740,14025,14847,28875,16976,18526,35504,19374,20634,40004,16041,16436,32479,11509,12706,24219,7559,8939,16501,2746,4499,7243,917,791,101919,23170,75456,24211,11941
LGA16100,2915,2662,136,129,264,350,349,692,144,126,270,145,105,254,278,259,539,334,267,609,374,364,742,446,381,828,431,414,846,220,211,429,48,64,107,143,115,1881,490,1436,335,166
LGA16150,21178,22333,1644,1404,3052,3277,3047,6325,1395,1274,2662,1198,1209,2407,2783,3112,5893,2590,2880,5464,2497,2610,5108,2274,2510,4776,1985,2265,4256,1136,1380,2511,405,645,1049,1642,1683,13959,3740,12751,3540,1145
LGA16200,7154,7208,493,421,910,1025,997,2025,464,413,875,386,401,788,838,795,1631,754,809,1562,820,850,1672,977,939,1915,789,761,1551,448,545,995,157,283,438,937,947,4492,1222,4276,1002,386
LGA16260,128734,127995,8194,7854,16047,15719,14876,30593,5981,5564,11542,8917,8082,16999,25136,24799,49933,23594,21932,45531,14332,14769,29102,11979,12810,24787,8690,9496,18185,4535,5413,9948,1668,2397,4067,1153,927,101385,15081,78974,24657,9745
LGA16350,107583,110085,8130,7509,15640,15618,14858,30474,6908,6619,13523,7540,7253,14793,15934,17047,32976,15714,16056,31767,13302,13550,26855,11295,12029,23332,8347,9071,17418,3832,4333,8164,960,1750,2713,5431,5495,72928,17523,67880,18985,8796
LGA16380,41576,45188,2006,1837,3849,5106,4908,10013,2504,2437,4938,1899,1967,3865,3643,3999,7637,4108,4544,8655,4908,5537,10452,5547,6521,12073,6378,6802,13187,4100,4587,8690,1377,2044,3417,2312,2414,32106,7590,26462,5449,2612
LGA16400,37059,38218,1801,1828,3630,4787,4472,9258,2295,2056,4347,1860,1730,3589,3480,3562,7049,3805,4073,7877,4485,4784,9271,5228,5532,10759,5342,5722,11058,3232,3338,6564,750,1117,1860,2436,2453,27907,6557,22278,5088,2592
LGA16490,31861,31441,2135,2095,4225,4278,3849,8131,1786,1640,3427,1771,1631,3400,4577,4772,9347,4461,4540,9004,4551,4649,9200,4121,3906,8022,2685,2598,5281,1173,1306,2475,316,453,777,1079,1110,23149,5999,17426,5736,2436
LGA16550,65376,68869,3521,3307,6832,7033,6804,13834,3445,3229,6677,4763,4733,9497,11842,12733,24573,9935,10409,20345,8498,8961,17468,6888,7198,14085,4989,5672,10665,3128,3776,6904,1332,2041,3371,1197,1158,40503,15399,45359,10232,4632
LGA16610,11631,11941,610,578,1188,1555,1568,3128,711,649,1363,609,604,1209,1110,1184,2296,1115,1213,2336,1408,1407,2811,1644,1685,3330,1654,1640,3296,902,947,1857,305,455,765,905,950,7348,2235,7294,1393,707
LGA16700,63042,66080,3693,3569,7267,7127,6572,13700,3061,2832,5895,4391,4217,8607,11574,12145,23722,10554,10709,21266,7340,7889,15232,6611,7382,13994,4907,5592,10500,2580,3256,5836,1196,1915,3111,292,317,49966,9318,41268,11134,5306
LGA16900,37265,39006,2392,2200,4591,5200,4824,10028,2429,2387,4813,2325,2269,4593,4617,4972,9585,4542,4804,9343,4631,5047,9674,4585,5081,9667,3748,4081,7827,2060,2395,4452,733,964,1695,1897,1914,27433,6791,23334,5984,3273
LGA16950,53719,54813,2810,2638,5448,6093,5799,11889,2859,2598,5461,2514,2248,4756,5565,5464,11029,5502,5627,11131,5999,6302,12301,7722,8370,16093,8375,8709,17085,4856,4975,9829,1423,2085,3504,3612,3457,38929,9877,32034,6629,3127
LGA17000,12659,11918,778,743,1518,1823,1734,3559,1011,740,1746,897,645,1545,1659,1565,3219,1504,1524,3030,1642,1695,3337,1598,1474,3079,1083,1068,2153,522,511,1033,142,214,353,1018,1019,8575,2231,6489,2080,968
LGA17040,11169,10500,491,508,1005,1378,1167,2549,625,576,1200,599,552,1152,1476,1331,2807,1235,1240,2473,1529,1488,3013,1637,1538,3182,1299,1144,2449,684,665,1349,204,279,483,408,263,6898,2159,6162,1477,601
LGA17080,7504,7391,383,448,827,995,919,1919,407,418,824,354,303,659,733,735,1465,834,858,1693,929,912,1837,1151,1057,2210,961,950,1915,600,548,1141,150,251,398,456,491,5023,1416,4048,1021,430
LGA17100,23365,22229,1197,1151,2350,2241,2182,4419,1061,1004,2062,2537,2063,4601,6043,5042,11081,3482,3160,6639,2146,2395,4535,2126,2258,4388,1405,1567,2971,802,923,1717,336,492,826,100,102,16786,2584,16842,3573,1953
LGA17150,112561,117649,6818,6495,13312,15167,14046,29217,7250,6780,14027,6642,6309,12947,12918,13498,26420,14684,15892,30575,15446,16455,31902,13884,14680,28567,10964,11975,22941,6329,7533,13859,2449,3989,6435,1679,1590,92786,17557,66335,20534,11444
LGA17200,110615,101018,3857,3603,7460,4361,4208,8569,2482,2804,5287,10339,11235,21572,34871,33236,68112,21714,17746,39461,12926,9916,22838,9826,8117,17940,6399,5981,12378,3003,2970,5972,843,1193,2037,1571,1437,41434,39008,88344,8525,2343
LGA17310,30906,32166,2068,1764,3829,4588,4291,8877,2182,1917,4102,1643,1673,3316,3836,4148,7984,3530,3827,7352,3656,3794,7452,3596,4044,7638,3314,3451,6768,1898,2276,4178,598,978,1579,4016,4015,20319,5479,19065,4534,1780
LGA17350,2948,3085,165,158,321,397,380,778,188,167,361,156,133,286,251,260,520,268,295,562,340,374,710,413,453,862,429,442,866,255,279,530,92,152,236,97,110,2242,425,1721,406,173
LGA17400,3334,3482,139,127,265,332,356,685,148,166,312,121,125,243,229,253,479,264,307,569,395,432,825,573,617,1194,733,660,1392,321,308,633,82,123,211,232,278,2375,554,2090,331,136
LGA17420,94657,97221,5680,5393,11078,15288,14296,29586,6762,6309,13071,5989,5452,11436,9291,10035,19325,14714,16122,30834,13239,13887,27125,10251,10759,21006,8024,8830,16849,4232,4486,8724,1191,1651,2845,611,593,88500,7458,49006,20916,11221
LGA17550,46804,50586,2354,2269,4623,5965,5496,11460,2578,2536,5118,2116,1983,4096,4179,4687,8868,5247,5917,11161,5814,6297,12115,6509,7509,14018,6552,7061,13616,3955,4518,8467,1527,2319,3844,2113,2216,32779,8846,30848,6464,3006
LGA17620,7112,7119,383,371,757,994,891,1892,416,404,822,328,343,671,803,858,1659,851,863,1707,891,891,1789,969,965,1934,862,787,1651,450,492,942,159,244,406,473,513,4926,1482,3916,1098,412
LGA17640,4314,4198,244,227,470,505,440,943,230,222,452,153,170,330,349,375,723,400,442,837,569,557,1123,785,723,1510,641,595,1229,350,313,667,98,132,229,130,138,3346,769,2149,579,310
LGA17650,2883,3086,153,142,299,376,378,756,174,191,360,119,128,242,241,304,547,292,312,602,390,435,821,460,500,952,422,421,845,215,204,422,39,81,118,275,290,2190,552,1660,415,178
LGA17750,32883,34728,2307,2271,4578,4693,4484,9178,2370,2263,4627,2505,2670,5171,4763,4928,9689,3979,4251,8230,3664,3885,7554,3511,3879,7394,2923,3178,6105,1601,1926,3524,575,993,1567,2179,2287,21713,5776,20066,5378,1967
LGA17850,1516,1502,79,85,166,174,165,344,80,73,147,66,47,117,131,141,271,128,140,265,182,181,361,238,223,461,255,232,486,154,165,324,32,51,81,99,99,1202,247,675,195,77
LGA17900,2663,2592,162,171,327,323,324,643,129,146,278,124,109,228,308,319,633,242,276,520,296,349,644,437,398,834,407,304,711,195,155,353,49,40,83,517,596,1067,433,1421,232,73
LGA17950,1266,1279,85,79,166,163,172,329,64,68,132,66,51,121,124,141,271,114,122,244,144,157,303,204,184,387,163,138,303,107,107,212,25,64,87,188,198,840,191,692,174,57
LGA18020,4616,4612,248,227,473,558,515,1081,262,259,523,181,142,325,422,438,858,378,445,824,528,565,1099,700,703,1408,726,700,1425,462,414,873,142,203,345,475,511,2923,703,2609,510,233
LGA18050,33273,35334,1927,1843,3774,3625,3417,7039,1453,1447,2899,1485,1835,3322,7535,8582,16114,5762,5853,11614,4442,4421,8858,3069,3059,6127,2203,2423,4621,1263,1589,2849,522,864,1381,150,125,18716,10176,22898,5349,1760
LGA18100,1847,1762,83,75,165,198,201,399,107,88,197,63,59,119,145,143,290,186,152,340,208,228,439,304,286,587,304,283,588,183,172,354,64,75,143,86,80,1295,316,1073,213,102
LGA18200,3869,3584,244,234,482,504,440,949,231,196,422,185,171,353,399,408,804,424,406,828,492,474,963,576,524,1098,518,427,942,248,210,464,53,84,136,319,301,2542,663,1771,543,223
LGA18250,36400,39215,2053,1894,3946,5231,5102,10338,2171,2024,4193,1996,1952,3951,4511,4856,9375,6017,6720,12731,5150,5679,10832,3926,4239,8161,2989,3537,6527,1638,1971,3611,718,1240,1954,106,102,30021,5101,22039,7441,3112
LGA18350,25313,27397,1296,1272,2567,3178,3061,6235,1493,1487,2976,1103,1050,2155,2329,2420,4747,2578,2757,5332,3222,3539,6753,3405,3829,7235,3553,4220,7778,2419,2746,5167,746,1014,1764,591,611,21067,4072,14827,3836,1785
LGA18400,27032,26931,1963,1803,3765,4135,3821,7956,1934,1780,3712,1672,1516,3188,3202,3335,6537,3360,3537,6900,3677,3664,7346,3066,3245,6311,2475,2534,5005,1223,1242,2462,324,449,766,1199,1163,20885,4572,14037,5076,2484
LGA18450,105616,108948,6219,5864,12083,13151,12475,25625,6637,6391,13032,8000,7786,15784,14320,14099,28419,13086,13669,26758,13168,13668,26838,12791,13278,26064,9990,10913,20904,6095,7218,13310,2171,3581,5754,3416,3528,74178,18196,70768,16341,8443
LGA18500,24952,28543,1210,1217,2437,2763,2755,5523,1388,1279,2670,1305,1609,2918,3744,4667,8405,3401,3821,7215,3248,3738,6990,2922,3248,6173,2567,3004,5573,1715,2160,3876,679,1042,1724,93,82,17876,5601,17186,3825,1674
LGA18710,8500,8781,470,459,928,1276,1217,2494,577,551,1133,412,373,780,776,817,1591,977,1198,2181,1306,1398,2709,1180,1117,2300,931,963,1897,458,477,935,133,211,338,283,276,6781,1560,4203,1518,745
LGA19399,530,486,34,19,58,68,62,127,18,19,34,8,16,24,51,63,119,81,69,150,68,74,136,81,85,164,82,51,135,30,29,55,15,9,20,17,18,340,94,231,76,25
LGA19499,6375,4997,258,203,460,382,412,798,253,279,532,411,418,829,1164,1022,2187,1108,749,1859,1010,666,1678,949,698,1648,648,404,1055,166,104,277,19,32,49,712,527,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,6562,6671,283,251,539,769,716,1488,359,303,666,265,255,516,605,590,1194,702,756,1459,850,919,1760,1079,1079,2151,1008,967,1982,489,590,1080,156,239,396,68,73,4833,1366,3497,878,380
LGA20260,6273,5606,293,283,578,646,579,1225,290,269,557,293,268,560,818,620,1438,732,588,1312,814,706,1520,923,820,1745,863,779,1644,457,465,915,154,222,371,151,76,3753,1025,3464,683,317
LGA20570,54740,59025,3324,3281,6608,7614,7101,14719,3508,3423,6927,3558,3646,7198,7689,7844,15533,6634,7438,14072,6584,7264,13845,6276,7039,13314,5499,6431,11927,3027,3717,6743,1030,1848,2877,1020,1080,35830,10771,37075,8436,3304
LGA20660,61405,64835,3625,3426,7052,7827,7556,15381,3621,3207,6832,3625,3380,7008,7983,8269,16254,8836,9329,18164,8224,8698,16921,7010,7849,14862,5883,6811,12694,3487,4194,7678,1279,2121,3400,437,425,47199,10544,39062,10944,5516
LGA20740,19834,20955,920,921,1841,2243,2084,4328,935,908,1842,744,684,1427,1699,1886,3585,2025,2215,4242,2339,2480,4815,3122,3549,6672,3523,3664,7185,1787,1852,3641,504,706,1218,247,218,14686,3753,11835,2472,1089
LGA20830,28035,29590,1764,1746,3507,3841,3610,7454,1590,1615,3208,1455,1437,2884,3377,3758,7130,3186,3378,6567,3304,3620,6921,3583,3989,7577,3461,3618,7078,1935,2008,3940,537,817,1359,363,367,20853,5421,15930,4410,2001
LGA20910,48378,52930,2208,2246,4450,6770,6461,13225,3596,3369,6965,2766,2442,5212,3806,4101,7912,5443,6372,11814,7639,8621,16260,6700,7337,14041,5125,5952,11081,3097,3838,6937,1225,2201,3422,140,125,40539,7356,29369,8730,5078
LGA21010,7052,7472,325,326,649,725,692,1418,396,343,739,320,287,608,693,694,1389,637,712,1350,805,925,1725,1118,1237,2350,1157,1189,2342,662,728,1392,219,345,566,130,152,5142,1291,4553,757,437
LGA21110,80517,87386,3408,3246,6653,10377,9907,20281,6100,5853,11950,6229,6075,12306,10424,10620,21044,9469,10937,20408,11016,12800,23812,9915,10831,20747,7420,8499,15917,4347,5479,9829,1820,3143,4961,242,195,64137,11495,54598,13565,8514
LGA21180,97491,97124,5714,5274,10994,11785,10989,22773,5640,5489,11131,7056,6349,13406,15946,14610,30553,13239,13179,26419,11849,12708,24555,11396,11706,23114,8831,9475,18308,4643,5071,9714,1391,2271,3664,434,417,68032,10030,71044,14385,9556
LGA21270,3186,2991,154,140,289,334,310,643,194,133,328,143,103,246,272,276,550,253,237,490,408,397,805,533,516,1051,531,416,945,267,285,547,106,182,286,45,47,2251,472,1847,357,198
LGA21370,19105,19627,981,959,1939,2387,2292,4674,1187,1033,2215,947,927,1876,1894,2005,3902,1834,2050,3885,2384,2532,4918,2822,2891,5716,2585,2552,5143,1573,1629,3201,507,766,1273,574,590,13574,3479,11541,2494,1284
LGA21450,58269,59925,4647,4453,9096,9070,8607,17675,3797,3493,7280,3577,3482,7063,8915,9685,18597,8672,8841,17514,7063,7396,14459,5618,6045,11663,4103,4599,8701,2210,2430,4640,591,902,1494,556,597,41761,11061,32102,11806,4263
LGA21610,182041,183195,14306,13534,27841,28376,26832,55208,11878,11278,23162,12563,11746,24309,27135,28552,55683,29092,28909,58004,22386,22866,45253,17923,18281,36204,11340,12320,23658,5468,6242,11711,1567,2646,4207,1176,1222,138444,23038,103560,38588,15961
LGA21670,6650,6836,270,259,521,737,700,1440,356,327,686,293,258,553,574,608,1185,526,590,1108,843,836,1678,1006,1098,2111,1115,1138,2260,714,716,1433,210,294,501,153,154,4265,1239,4740,652,398
LGA21750,11224,11200,579,542,1123,1361,1247,2611,653,564,1214,548,477,1025,1305,1271,2573,1230,1238,2463,1380,1435,2814,1612,1613,3223,1497,1573,3071,806,842,1651,240,415,651,157,154,7315,2209,7020,1473,676
LGA21830,8112,8003,395,359,748,992,943,1929,495,438,935,408,333,743,818,757,1571,774,815,1591,1024,1041,2065,1257,1275,2536,1130,1023,2154,610,709,1322,214,307,517,102,104,5772,1392,4727,1036,530
LGA21890,72162,76410,4062,3835,7896,7418,7047,14465,3376,3353,6729,4769,4657,9424,13897,14685,28587,11681,12205,23888,9948,10441,20391,7361,7959,15323,4900,5666,10566,3216,4143,7356,1543,2406,3949,698,746,43620,17829,55296,11131,5112
LGA22110,23948,24769,1127,1043,2173,2581,2541,5126,1209,1099,2307,937,874,1816,2099,2284,4378,2122,2372,4496,2620,2992,5618,3725,4027,7752,4408,4258,8664,2464,2408,4873,640,877,1516,849,836,17389,4669,14170,2758,1350
LGA22170,68038,71240,4342,4259,8599,8875,8363,17235,4132,3696,7827,3893,3863,7760,9306,9767,19076,9551,10147,19695,9322,9666,18983,8179,8752,16928,6062,6858,12919,3272,3965,7236,1106,1913,3017,886,908,43611,14653,45952,11100,5145
LGA22250,5314,5368,231,257,486,602,580,1187,242,243,494,242,198,438,440,440,884,495,512,1013,633,662,1293,826,846,1670,898,848,1744,524,543,1068,179,234,409,141,134,3897,890,3136,621,328
LGA22310,72223,76690,3984,3787,7772,9406,8900,18302,4276,4062,8338,4766,4695,9462,11037,11399,22436,10579,11322,21899,9747,10630,20378,7756,8338,16099,6133,6896,13025,3136,4084,7220,1396,2577,3979,227,185,54064,12907,47963,13110,5956
LGA22410,10052,10104,463,443,904,1112,1071,2181,578,519,1091,471,386,852,910,959,1865,990,1066,2050,1288,1377,2667,1668,1659,3330,1587,1480,3059,762,781,1545,222,375,594,294,293,6992,2038,5985,1199,652
LGA22490,12776,12210,803,741,1541,2083,1883,3967,875,802,1681,614,516,1129,1290,1258,2547,1603,1750,3348,1875,1818,3693,1617,1626,3234,1379,1197,2568,545,462,1007,96,161,258,182,192,9842,2344,5814,2434,1106
LGA22620,58884,62586,3620,3519,7147,8089,7502,15590,3525,3492,7017,3601,3650,7245,7547,8147,15687,6981,7693,14674,7072,7605,14673,7199,8098,15299,6518,7032,13545,3527,3970,7499,1212,1886,3097,1346,1397,39866,11312,37877,9024,3801
LGA22670,80293,77912,4951,4671,9620,9099,8683,17788,4412,4188,8601,6008,5378,11392,14783,12996,27782,11844,11202,23041,9338,9133,18472,8340,8304,16646,6356,7013,13369,3811,4288,8102,1346,2061,3400,295,321,54905,6984,58833,12492,6644
LGA22750,131854,139203,7975,7500,15470,16540,15764,32304,7711,7379,15088,8754,8452,17203,19168,19032,38200,16663,17750,34409,15855,17127,32985,15080,17086,32161,13910,15775,29684,7589,9113,16706,2619,4228,6844,1779,1782,92477,24680,84505,20611,9107
LGA22830,34021,34388,2158,1927,4084,4743,4400,9136,2187,1933,4124,1961,1881,3838,4353,4540,8899,3967,4207,8176,4288,4245,8527,4157,4344,8503,3524,3694,7214,2044,2217,4255,645,1004,1649,1311,1381,22822,5275,20763,5012,2239
LGA22910,8156,8453,337,337,677,867,809,1677,379,353,724,244,219,462,635,661,1297,844,901,1748,1188,1242,2432,1397,1529,2927,1426,1451,2881,651,656,1311,183,284,467,90,85,5629,1945,4869,965,471
LGA22980,2857,2844,137,147,285,285,282,560,178,131,303,119,101,214,298,309,610,270,259,533,303,355,664,474,438,918,418,360,784,248,290,537,115,165,282,41,47,2161,420,1728,340,188
LGA23110,44694,46629,3035,2739,5775,5624,5534,11159,2278,2202,4474,2378,2180,4555,6136,6293,12426,6963,7283,14248,6215,6685,12897,5420,5651,11063,3815,4241,8051,2040,2515,4548,790,1322,2115,336,293,32012,8678,28409,8088,3531
LGA23190,10010,10419,560,606,1166,1366,1209,2572,644,549,1196,571,575,1149,1265,1287,2557,1098,1171,2267,1150,1266,2421,1360,1395,2759,1101,1166,2266,641,782,1425,251,401,656,178,186,7214,1738,6127,1513,624
LGA23270,122013,121890,9764,9088,18851,18500,17399,35900,7839,7385,15225,8621,7961,16584,19882,20214,40097,18708,18474,37187,14034,14686,28715,12222,12498,24719,7727,8531,16262,3715,4173,7891,989,1481,2473,957,913,90157,12707,74293,24303,10826
LGA23350,8586,8782,450,400,849,1109,1081,2192,492,493,985,293,294,592,733,730,1463,918,1025,1945,1180,1276,2453,1366,1430,2796,1239,1227,2468,660,574,1232,146,251,394,131,146,6560,1772,4342,1306,578
LGA23430,76656,81476,4389,4222,8611,9551,9047,18597,4365,4234,8594,4345,3998,8339,9933,9916,19848,10934,11819,22756,10981,11867,22848,9188,10018,19205,7082,8305,15387,4253,5287,9541,1629,2773,4401,366,354,59012,13007,50876,13589,7056
LGA23670,77940,81164,4291,4146,8428,9777,8911,18684,4843,4472,9314,5036,4627,9661,10030,10190,20219,10879,11402,22280,10352,11196,21548,9838,10687,20530,7519,8477,15998,4047,4851,8898,1333,2203,3540,492,527,63681,11146,49683,13387,8629
LGA23810,37817,39510,2174,2120,4295,4903,4497,9404,2234,2110,4347,2141,2157,4299,4756,5052,9809,4277,4592,8868,4501,4819,9314,5111,5544,10657,4572,4750,9321,2389,2678,5066,752,1193,1947,816,843,24007,7352,25208,5019,2460
LGA23940,3923,3836,162,153,317,416,428,842,189,200,387,137,126,264,287,332,618,349,344,694,499,491,988,719,670,1388,693,602,1299,351,303,651,127,180,308,74,93,2742,609,2275,446,229
LGA24130,25353,26111,1437,1418,2854,3769,3601,7371,1703,1566,3268,1131,1011,2138,2166,2299,4469,3142,3533,6672,3763,4072,7838,3463,3547,7007,2881,3061,5937,1532,1466,2999,365,531,893,267,208,20023,4801,12723,4629,2148
LGA24210,60324,64374,2777,2778,5556,7530,7058,14586,3883,3476,7356,3900,3442,7339,6652,6739,13388,7610,8454,16055,7963,8751,16718,7507,8406,15921,5943,7122,13063,4619,5528,10148,1930,2630,4558,164,134,54664,5747,37976,10257,7230
LGA24250,5012,5165,188,211,397,672,673,1344,258,300,557,170,138,304,418,453,870,545,582,1127,609,624,1229,818,884,1703,849,796,1645,390,370,762,92,139,239,47,63,3550,1020,2443,650,246
LGA24330,42713,42498,2550,2395,4942,4387,3930,8321,1723,1707,3426,2853,2725,5577,9751,9507,19257,7715,7546,15258,5444,5489,10931,4048,4179,8225,2551,2702,5253,1197,1476,2669,500,846,1348,338,295,24023,10879,31056,6608,2438
LGA24410,55688,59351,3504,3359,6862,7309,6851,14162,3409,3074,6483,3342,3102,6438,7285,7750,15033,8167,8700,16863,7398,7964,15364,6480,7135,13610,4877,5890,10760,2878,3699,6580,1055,1829,2883,383,351,43570,8984,35317,10231,4930
LGA24600,74423,75195,2238,2116,4354,2928,2815,5742,2817,3493,6310,11789,13392,25180,26571,26393,52962,12351,10818,23170,5948,5790,11740,4562,4679,9236,3205,3384,6589,1553,1590,3141,464,726,1188,430,339,28588,22406,67044,5240,1365
LGA24650,89280,89678,7342,7119,14460,14738,14392,29126,5878,5685,11568,5868,5252,11121,13765,14564,28329,15299,15237,30533,11301,11187,22490,7369,7737,15104,5121,5629,10748,2153,2168,4321,441,714,1154,1135,993,63610,11848,49493,19194,7001
LGA24780,28040,28932,1638,1617,3260,3743,3547,7288,1680,1600,3279,1650,1526,3176,3774,3851,7619,3238,3481,6720,3438,3636,7076,3618,3765,7383,3016,3121,6137,1677,1834,3505,568,956,1526,1239,1378,18257,4903,17904,3934,1728
LGA24850,24921,24536,1821,1682,3505,3534,3289,6821,1610,1392,3002,1605,1280,2886,3412,3603,7015,3263,3278,6535,3114,3253,6369,2951,2973,5923,2266,2216,4491,1077,1111,2186,269,459,730,527,548,16559,5084,13876,4382,1807
LGA24900,15234,15286,755,725,1478,1842,1728,3570,867,777,1644,677,625,1307,1508,1549,3055,1490,1548,3039,1812,1852,3661,2173,2230,4402,2274,2302,4581,1393,1342,2735,441,614,1050,331,316,10842,2617,8947,1883,902
LGA24970,94841,95556,4359,4091,8458,10963,10172,21130,5701,5372,11078,8773,7411,16188,15805,13448,29254,12677,13214,25886,11436,12299,23735,9621,10309,19929,7458,8817,16273,5542,6732,12266,2518,3687,6204,263,262,74124,9828,64035,15449,9127
LGA25060,59191,62666,3163,2979,6133,6917,6516,13433,3350,3132,6483,3911,3823,7732,9029,9462,18488,8521,9016,17538,8196,8694,16887,6745,7352,14095,5051,5821,10867,3050,3869,6913,1276,2003,3274,294,273,43483,10193,41512,9606,5463
LGA25150,18641,18991,1201,1170,2370,2725,2484,5215,1123,1034,2165,970,932,1905,2310,2456,4763,2525,2598,5124,2477,2592,5068,2262,2376,4642,1920,1971,3898,894,968,1861,222,403,628,290,268,13337,3868,10427,3253,1447
LGA25250,83446,87909,4961,4772,9731,8537,8238,16772,3653,3478,7137,6229,6275,12501,18217,18947,37163,14249,14374,28624,10195,10561,20756,7619,8193,15806,4835,5761,10596,3157,4422,7581,1784,2899,4682,518,566,50756,20123,63473,13140,5314
LGA25340,81681,87267,4130,3794,7922,10039,9552,19591,5022,4592,9616,4046,3595,7640,7167,7390,14555,8398,9433,17834,10675,11941,22616,10959,12245,23203,11310,12807,24115,7383,8453,15833,2561,3467,6029,915,805,62878,14672,48216,11928,6240
LGA25430,10105,10150,430,377,808,1067,976,2046,506,434,935,363,250,617,949,781,1730,1119,1139,2258,1353,1454,2808,1580,1719,3292,1652,1707,3353,834,924,1755,259,393,644,148,114,6554,2370,6227,1223,573
LGA25490,8592,8780,463,502,963,1208,1128,2333,527,525,1048,366,358,721,832,898,1729,903,974,1879,1140,1134,2273,1252,1356,2606,1237,1143,2377,529,536,1062,142,236,381,143,155,6541,1622,4432,1350,597
LGA25620,7822,7378,357,298,651,829,720,1555,424,357,783,318,275,599,636,660,1291,788,790,1579,1074,1071,2145,1336,1310,2650,1260,1150,2410,658,546,1204,154,196,346,136,120,5399,1590,4294,916,501
LGA25710,31101,31794,1614,1604,3221,4330,4119,8447,2357,2223,4572,2035,1791,3823,2791,2781,5573,3634,4023,7660,4747,5129,9874,4551,4747,9297,3255,3390,6646,1456,1452,2909,340,539,880,192,190,26638,4692,16772,5751,3970
LGA25810,5989,5963,283,297,582,653,564,1214,271,291,559,305,257,566,679,668,1348,573,550,1117,696,757,1458,950,941,1891,927,882,1804,497,519,1022,148,242,384,113,116,4024,1070,3741,681,364
LGA25900,49702,52238,2112,2070,4177,3782,3668,7452,1659,1631,3289,2654,2898,5551,10991,12130,23118,8944,9335,18287,7182,7499,14681,5799,5808,11604,3935,4123,8050,2052,2212,4268,597,876,1468,252,257,24690,16166,39339,5759,1983
LGA25990,4000,3671,145,167,311,403,408,810,209,183,387,158,140,295,325,319,645,402,369,778,589,532,1123,651,579,1228,708,594,1302,322,278,602,88,103,195,74,72,2567,750,2177,429,208
LGA26080,1550,1725,40,47,86,111,114,226,82,45,129,51,43,96,81,71,153,101,124,226,138,172,311,251,319,574,396,404,798,229,279,512,75,95,175,6,4,1481,205,875,141,103
LGA26170,15117,15455,757,684,1437,1943,1755,3697,854,831,1690,617,512,1127,1253,1379,2628,1513,1612,3123,1888,2030,3917,2332,2511,4840,2396,2415,4817,1225,1228,2454,350,505,857,181,177,11157,2921,8521,2007,1012
LGA26260,8126,8457,440,428,868,1013,936,1953,504,453,956,395,366,763,849,810,1660,796,908,1700,980,1028,2006,1156,1246,2398,1156,1183,2342,628,724,1349,211,380,585,186,202,6022,1337,4973,1109,521
LGA26350,49893,54806,2008,1939,3950,4095,3963,8061,2205,2405,4609,3690,4501,8189,11498,12247,23743,7510,7524,15042,6036,6593,12626,5102,5582,10682,3996,4985,8975,2721,3351,6073,1030,1714,2749,193,168,30411,12823,40421,6017,3170
LGA26430,5687,5771,270,257,532,577,521,1088,267,253,520,242,164,404,431,474,911,523,610,1137,629,699,1337,930,1017,1947,1094,988,2090,537,531,1068,178,257,433,112,97,4069,1076,3425,617,343
