LGA_CODE_2021,Gender,Gender Value,Age - Male,Age - Male Value,Age - Female,Age - Female Value,Age - Person,Age - Person Value,Indigenous Gender,Indigenous Gender Value,Relationship Type,Relationship Type Value,Couple Family Kids Y N,Couple Family Kids Y N Value
LGA18020,Female,4612.0,,,,,,,,,,,,
LGA18050,Female,35334.0,,,,,,,,,,,,
LGA18100,Female,1762.0,,,,,,,,,,,,
LGA18200,Female,3584.0,,,,,,,,,,,,
LGA18250,Female,39215.0,,,,,,,,,,,,
LGA18350,Female,27397.0,,,,,,,,,,,,
LGA18400,Female,26931.0,,,,,,,,,,,,
LGA18450,Female,108948.0,,,,,,,,,,,,
LGA18500,Female,28543.0,,,,,,,,,,,,
LGA18710,Female,8781.0,,,,,,,,,,,,
LGA19399,Female,486.0,,,,,,,,,,,,
LGA19499,Female,4997.0,,,,,,,,,,,,
LGA19799,Female,0.0,,,,,,,,,,,,
LGA20110,Female,6671.0,,,,,,,,,,,,
LGA20260,Female,5606.0,,,,,,,,,,,,
LGA20570,Female,59025.0,,,,,,,,,,,,
LGA20660,Female,64835.0,,,,,,,,,,,,
LGA20740,Female,20955.0,,,,,,,,,,,,
LGA20830,Female,29590.0,,,,,,,,,,,,
LGA20910,Female,52930.0,,,,,,,,,,,,
LGA21010,Female,7472.0,,,,,,,,,,,,
LGA21110,Female,87386.0,,,,,,,,,,,,
LGA21180,Female,97124.0,,,,,,,,,,,,
LGA21270,Female,2991.0,,,,,,,,,,,,
LGA21370,Female,19627.0,,,,,,,,,,,,
LGA21450,Female,59925.0,,,,,,,,,,,,
LGA21610,Female,183195.0,,,,,,,,,,,,
LGA21670,Female,6836.0,,,,,,,,,,,,
LGA21750,Female,11200.0,,,,,,,,,,,,
LGA21830,Female,8003.0,,,,,,,,,,,,
LGA21890,Female,76410.0,,,,,,,,,,,,
LGA22110,Female,24769.0,,,,,,,,,,,,
LGA22170,Female,71240.0,,,,,,,,,,,,
LGA22250,Female,5368.0,,,,,,,,,,,,
LGA22310,Female,76690.0,,,,,,,,,,,,
LGA22410,Female,10104.0,,,,,,,,,,,,
LGA22490,Female,12210.0,,,,,,,,,,,,
LGA22620,Female,62586.0,,,,,,,,,,,,
LGA22670,Female,77912.0,,,,,,,,,,,,
LGA22750,Female,139203.0,,,,,,,,,,,,
LGA22830,Female,34388.0,,,,,,,,,,,,
LGA22910,Female,8453.0,,,,,,,,,,,,
LGA22980,Female,2844.0,,,,,,,,,,,,
LGA23110,Female,46629.0,,,,,,,,,,,,
LGA23190,Female,10419.0,,,,,,,,,,,,
LGA23270,Female,121890.0,,,,,,,,,,,,
LGA23350,Female,8782.0,,,,,,,,,,,,
LGA23430,Female,81476.0,,,,,,,,,,,,
LGA23670,Female,81164.0,,,,,,,,,,,,
LGA23810,Female,39510.0,,,,,,,,,,,,
LGA23940,Female,3836.0,,,,,,,,,,,,
LGA24130,Female,26111.0,,,,,,,,,,,,
LGA24210,Female,64374.0,,,,,,,,,,,,
LGA24250,Female,5165.0,,,,,,,,,,,,
LGA24330,Female,42498.0,,,,,,,,,,,,
LGA24410,Female,59351.0,,,,,,,,,,,,
LGA24600,Female,75195.0,,,,,,,,,,,,
LGA24650,Female,89678.0,,,,,,,,,,,,
LGA24780,Female,28932.0,,,,,,,,,,,,
LGA24850,Female,24536.0,,,,,,,,,,,,
LGA24900,Female,15286.0,,,,,,,,,,,,
LGA24970,Female,95556.0,,,,,,,,,,,,
LGA25060,Female,62666.0,,,,,,,,,,,,
LGA25150,Female,18991.0,,,,,,,,,,,,
LGA25250,Female,87909.0,,,,,,,,,,,,
LGA25340,Female,87267.0,,,,,,,,,,,,
LGA25430,Female,10150.0,,,,,,,,,,,,
LGA25490,Female,8780.0,,,,,,,,,,,,
LGA25620,Female,7378.0,,,,,,,,,,,,
LGA25710,Female,31794.0,,,,,,,,,,,,
LGA25810,Female,5963.0,,,,,,,,,,,,
LGA25900,Female,52238.0,,,,,,,,,,,,
LGA25990,Female,3671.0,,,,,,,,,,,,
LGA26080,Female,1725.0,,,,,,,,,,,,
LGA26170,Female,15455.0,,,,,,,,,,,,
LGA26260,Female,8457.0,,,,,,,,,,,,
LGA26350,Female,54806.0,,,,,,,,,,,,
LGA26430,Female,5771.0,,,,,,,,,,,,
LGA26490,Female,19087.0,,,,,,,,,,,,
LGA26610,Female,10652.0,,,,,,,,,,,,
LGA26670,Female,3059.0,,,,,,,,,,,,
