,LGA_CODE_2021,G01_Total_Persons_Males,G01_Total_Persons_Females,G01_Total_Persons_Persons,G01_Age_groups_0_4_years_Males,G01_Age_groups_0_4_years_Females,G01_Age_groups_0_4_years_Persons,G01_Age_groups_5_14_years_Males,G01_Age_groups_5_14_years_Females,G01_Age_groups_5_14_years_Persons,G01_Age_groups_15_19_years_Males,G01_Age_groups_15_19_years_Females,G01_Age_groups_15_19_years_Persons,G01_Age_groups_20_24_years_Males,G01_Age_groups_20_24_years_Females,G01_Age_groups_20_24_years_Persons,G01_Age_groups_25_34_years_Males,G01_Age_groups_25_34_years_Females,G01_Age_groups_25_34_years_Persons,G01_Age_groups_35_44_years_Males,G01_Age_groups_35_44_years_Females,G01_Age_groups_35_44_years_Persons,G01_Age_groups_45_54_years_Males,G01_Age_groups_45_54_years_Females,G01_Age_groups_45_54_years_Persons,G01_Age_groups_55_64_years_Males,G01_Age_groups_55_64_years_Females,G01_Age_groups_55_64_years_Persons,G01_Age_groups_65_74_years_Males,G01_Age_groups_65_74_years_Females,G01_Age_groups_65_74_years_Persons,G01_Age_groups_75_84_years_Males,G01_Age_groups_75_84_years_Females,G01_Age_groups_75_84_years_Persons,G01_Age_groups_85_years_and_over_Males,G01_Age_groups_85_years_and_over_Females,G01_Age_groups_85_years_and_over_Persons,G01_Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Males,G01_Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Females,G01_Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Persons,G01_Birthplace_Australia_Males,G01_Birthplace_Australia_Females,G01_Birthplace_Australia_Persons,G01_Birthplace_Elsewhere_Males,G01_Birthplace_Elsewhere_Females,G01_Birthplace_Elsewhere_Persons,G01_Language_used_at_home_English_only_Males,G01_Language_used_at_home_English_only_Females,G01_Language_used_at_home_English_only_Persons,G01_Language_used_at_home_Other_Language_Males,G01_Language_used_at_home_Other_Language_Females,G01_Language_used_at_home_Other_Language_Persons,G01_Australian_citizen_Males,G01_Australian_citizen_Females,G01_Australian_citizen_Persons,G02_Median_age_of_persons,G02_Median_mortgage_repayment_monthly,G02_Median_total_personal_income_weekly,G02_Median_rent_weekly,G02_Median_total_family_income_weekly,G02_Average_number_of_Persons_per_bedroom,G02_Median_total_household_income_weekly,G02_Average_household_size,G06_PERSONS_Total_Married_in_a_registered_marriage,G06_PERSONS_Total_Married_in_a_de_facto_marriage,G06_PERSONS_Total_Not_married,G06_PERSONS_Total_Total,G09F_PERSONS_Afghanistan_Age_Total,G09F_PERSONS_Australia_Total,G09F_PERSONS_Bangladesh_Total,G09F_PERSONS_Bosnia_and_Herzegovina_Total,G09F_PERSONS_Brazil_Total,G09F_PERSONS_Cambodia_Total,G09F_PERSONS_Canada_Total,G09F_PERSONS_Chile_Total,G09F_PERSONS_China_excludes_SARs_and_Taiwan_Total,G09F_PERSONS_Croatia_Total,G09F_PERSONS_Egypt_Total,G09F_PERSONS_England_Total,G09F_PERSONS_Fiji_Total,G09F_PERSONS_France_Total,G09G_PERSONS_Germany_Total,G09G_PERSONS_Greece_Total,G09G_PERSONS_Hong_Kong_SAR_of_China_Total,G09G_PERSONS_India_Total,G09G_PERSONS_Indonesia_Total,G09G_PERSONS_Iran_Total,G09G_PERSONS_Iraq_Total,G09G_PERSONS_Ireland_Total,G09G_PERSONS_Italy_Total,G09G_PERSONS_Japan_Total,G09G_PERSONS_Korea_Republic_of_South_Total,G09G_PERSONS_Lebanon_Total,G09G_PERSONS_Malaysia_Total,G09G_PERSONS_Malta_Total,G09G_PERSONS_Mauritius_Total,G09G_PERSONS_Myanmar_Total,G09G_PERSONS_Nepal_Total,G09G_PERSONS_Netherlands_Total,G09G_PERSONS_New_Zealand_Total,G09G_PERSONS_North_Macedonia_Total,G09H_PERSONS_Pakistan_Total,G09H_PERSONS_Papua_New_Guinea_Total,G09H_PERSONS_Philippines_Total,G09H_PERSONS_Poland_Total,G09H_PERSONS_Samoa_Total,G09H_PERSONS_Scotland_Total,G09H_PERSONS_Singapore_Total,G09H_PERSONS_South_Africa_Total,G09H_PERSONS_Sri_Lanka_Total,G09H_PERSONS_Taiwan_Total,G09H_PERSONS_Thailand_Total,G09H_PERSONS_Turkey_Total,G09H_PERSONS_United_States_of_America_Total,G09H_PERSONS_Vietnam_Total,G09H_PERSONS_Wales_Total,G09H_PERSONS_Zimbabwe_Total,G09H_PERSONS_Born_elsewhere_Total,G09H_PERSONS_Country_of_birth_not_stated_Total,G14_Buddhism_Persons,G14_Christianity_Total_Persons,G14_Hinduism_Persons,G14_Islam_Persons,G14_Judaism_Persons,G14_Other_Religions_Total_Persons,G14_Secular_Beliefs_and_Other_Spiritual_Beliefs_and_No_Religious_Affiliation_Total_Persons,G14_Religious_affiliation_not_stated_Persons,G29_Couple_family_with_children_under_15_and_Total_Families,G29_Couple_family_with_no_children_under_15_and_Total_Families,G29_Couple_family_with_Total_Families,G56A_Agriculture_Forestry_and_Fishing_Total,G56A_Mining_Total,G56A_Manufacturing_Total,G56A_Electricity_Gas_Water_and_Waste_Services_Total,G56A_Construction_Total,G56A_Wholesale_Trade_Total,G56A_Retail_Trade_Total,G56A_Accommodation_and_Food_Services_Total,G56A_Transport_Postal_and_Warehousing_Total,G56A_Information_Media_and_Telecommunications_Total,G56A_Financial_and_Insurance_Services_Total,G56A_Rental_Hiring_and_Real_Estate_Services_Total,G56A_Professional_Scientific_and_Technical_Services_Total,G56A_Administrative_and_Support_Services_Total,G56A_Public_Administration_and_Safety_Total,G56A_Education_and_Training_Total,G56A_Health_Care_and_Social_Assistance_Total,G56A_Arts_and_Recreation_Services_Total,G56A_Other_Services_Total,G56A_Inadequately_described_Not_stated_Total
107,LGA17350,2948,3085,6034,165,158,321,397,380,778,188,167,361,156,133,286,251,260,520,268,295,562,340,374,710,413,453,862,429,442,866,255,279,530,92,152,236,97,110,207,2629,2735,5361,150,169,322,2725,2835,5562,66,85,151,2760,2873,5635,47,1100,656,230,1623,0.7,1203,2.3,2242,425,1721,4389,0,5361,0,0,0,6,3,4,3,0,6,88,5,7,12,0,5,25,0,0,3,4,7,0,3,0,3,0,0,0,0,11,18,0,0,3,39,0,0,7,0,7,5,0,0,0,8,6,4,0,32,354,25,4075,16,0,0,20,1500,394,406,173,573,554,15,86,50,176,82,242,184,137,9,30,19,104,65,139,257,311,27,106,91
108,LGA17400,3334,3482,6810,139,127,265,332,356,685,148,166,312,121,125,243,229,253,479,264,307,569,395,432,825,573,617,1194,733,660,1392,321,308,633,82,123,211,232,278,514,2680,2818,5497,301,289,590,2926,3038,5968,91,103,195,2930,3067,5998,55,1083,490,240,1206,0.7,885,2.1,2375,554,2090,5020,0,5497,0,0,0,0,4,3,9,0,4,156,0,6,33,0,4,23,4,0,0,15,15,5,0,0,0,0,0,0,0,20,96,0,0,8,26,6,0,9,0,18,9,0,5,0,18,0,0,0,62,722,52,3575,25,8,0,32,2304,812,331,136,466,509,35,71,24,212,29,223,133,99,7,22,26,110,52,162,212,272,23,73,134
109,LGA17420,94657,97221,191876,5680,5393,11078,15288,14296,29586,6762,6309,13071,5989,5452,11436,9291,10035,19325,14714,16122,30834,13239,13887,27125,10251,10759,21006,8024,8830,16849,4232,4486,8724,1191,1651,2845,611,593,1207,55345,55014,110358,37303,40131,77434,56430,55962,112395,35654,38723,74377,81470,82314,163784,38,3000,1033,580,2990,0.8,2831,3.1,88500,7458,49006,144963,517,110358,680,113,225,101,316,320,12304,389,1119,5122,1003,131,562,283,2439,12577,1174,2985,227,601,1061,250,3197,907,2058,457,209,229,571,336,2354,58,1759,111,3449,486,39,546,792,3038,3096,616,465,333,970,796,157,327,5561,4082,5918,98653,15064,8504,211,4072,51882,7570,20916,11221,32140,576,180,5399,869,8915,4149,8821,4013,3160,2325,7846,1984,11146,2409,4750,8942,12690,1053,3034,4218
110,LGA17550,46804,50586,97392,2354,2269,4623,5965,5496,11460,2578,2536,5118,2116,1983,4096,4179,4687,8868,5247,5917,11161,5814,6297,12115,6509,7509,14018,6552,7061,13616,3955,4518,8467,1527,2319,3844,2113,2216,4329,36502,39134,75640,6975,8044,15019,41348,44468,85814,2141,2722,4862,41346,44645,85995,47,1872,658,400,1663,0.8,1296,2.4,32779,8846,30848,72472,0,75640,4,19,394,9,268,25,193,29,20,4454,90,153,478,36,59,508,89,13,8,194,196,206,48,14,123,76,26,7,50,289,2691,11,17,146,573,87,20,497,64,470,50,29,228,17,413,70,153,76,1335,6735,981,45087,722,105,138,680,40868,8805,6464,3006,9471,967,275,1736,432,4797,721,4197,3875,1360,384,693,693,2182,1382,1985,3783,7075,686,1572,1891
111,LGA17620,7112,7119,14229,383,371,757,994,891,1892,416,404,822,328,343,671,803,858,1659,851,863,1707,891,891,1789,969,965,1934,862,787,1651,450,492,942,159,244,406,473,513,990,5956,5988,11947,655,656,1307,6336,6390,12728,304,280,584,6307,6376,12683,42,1560,751,270,1914,0.7,1429,2.4,4926,1482,3916,10321,0,11947,4,0,16,3,10,0,109,0,0,273,6,17,37,0,7,45,6,0,0,73,5,5,6,0,20,5,0,3,15,33,204,0,8,4,88,0,0,27,9,42,13,5,9,0,21,6,4,14,146,977,64,8814,61,42,6,33,4142,1069,1098,412,1508,1175,785,427,104,476,127,447,382,189,16,59,54,274,209,300,501,614,169,239,239
112,LGA17640,4314,4198,8514,244,227,470,505,440,943,230,222,452,153,170,330,349,375,723,400,442,837,569,557,1123,785,723,1510,641,595,1229,350,313,667,98,132,229,130,138,268,3580,3528,7105,332,318,649,3840,3764,7604,109,105,213,3862,3791,7653,49,1540,753,277,1906,0.7,1465,2.4,3346,769,2149,6258,0,7105,0,0,0,0,11,3,6,7,0,221,3,3,40,3,5,9,3,0,0,9,15,0,3,11,9,3,0,0,7,20,78,0,0,8,12,0,0,33,0,7,10,3,3,0,14,9,5,0,49,755,29,5123,16,11,3,34,2444,847,579,310,891,973,18,139,56,317,73,249,156,119,31,43,33,212,87,420,296,451,34,141,153
113,LGA17650,2883,3086,5971,153,142,299,376,378,756,174,191,360,119,128,242,241,304,547,292,312,602,390,435,821,460,500,952,422,421,845,215,204,422,39,81,118,275,290,569,2470,2629,5098,189,234,428,2634,2816,5447,60,86,144,2636,2822,5457,47,1333,677,250,1708,0.7,1346,2.4,2190,552,1660,4398,0,5098,0,0,0,0,14,0,4,0,0,134,0,3,23,0,0,3,8,0,0,10,7,3,3,0,10,0,0,0,0,9,61,0,0,3,4,0,0,25,6,14,0,0,13,0,13,6,3,0,43,444,49,3179,6,15,6,36,2189,493,415,178,595,409,13,77,22,255,49,187,156,91,16,42,36,113,64,198,388,366,20,85,91
114,LGA17750,32883,34728,67609,2307,2271,4578,4693,4484,9178,2370,2263,4627,2505,2670,5171,4763,4928,9689,3979,4251,8230,3664,3885,7554,3511,3879,7394,2923,3178,6105,1601,1926,3524,575,993,1567,2179,2287,4471,27085,29044,56132,3881,3802,7684,27840,29858,57697,3129,3037,6168,28891,30896,59791,35,1517,839,300,2060,0.7,1638,2.5,21713,5776,20066,47549,44,56132,87,4,18,3,60,25,346,15,127,799,156,24,112,34,47,999,38,71,826,94,67,22,47,19,152,8,7,224,189,90,474,5,119,40,460,15,44,119,35,210,156,33,91,34,122,88,26,82,788,3793,439,38544,752,653,18,1247,21418,4553,5378,1967,7342,1406,100,1915,407,2817,757,3237,2221,1203,259,510,330,1342,1016,3280,3532,5957,276,1427,1283
115,LGA17850,1516,1502,3016,79,85,166,174,165,344,80,73,147,66,47,117,131,141,271,128,140,265,182,181,361,238,223,461,255,232,486,154,165,324,32,51,81,99,99,201,1273,1261,2530,79,85,166,1340,1324,2665,28,28,54,1342,1344,2690,50,1056,690,200,1583,0.7,1224,2.2,1202,247,675,2126,0,2530,0,0,0,0,0,0,3,4,0,48,0,0,11,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,12,26,0,0,0,0,0,0,4,0,3,0,0,0,0,5,0,3,5,26,318,8,1873,0,0,0,11,800,329,195,77,271,552,8,24,8,65,17,63,50,58,5,17,15,48,31,83,105,122,18,31,49
116,LGA17900,2663,2592,5253,162,171,327,323,324,643,129,146,278,124,109,228,308,319,633,242,276,520,296,349,644,437,398,834,407,304,711,195,155,353,49,40,83,517,596,1113,1753,1650,3403,218,224,444,1851,1743,3595,135,149,276,1916,1800,3711,44,858,556,180,1362,0.8,1001,2.2,1067,433,1421,2918,0,3403,0,3,0,0,10,0,14,16,0,58,4,0,23,3,0,27,0,0,0,4,3,3,0,0,0,0,0,0,4,9,47,0,6,4,36,0,0,5,0,4,0,0,12,0,13,0,3,3,118,1409,23,2203,19,17,0,17,1552,1422,232,73,305,439,30,15,18,57,21,112,134,47,3,10,3,16,41,176,227,202,17,36,52
117,LGA17950,1266,1279,2550,85,79,166,163,172,329,64,68,132,66,51,121,124,141,271,114,122,244,144,157,303,204,184,387,163,138,303,107,107,212,25,64,87,188,198,392,1067,1042,2104,60,75,130,1095,1108,2202,42,33,75,1092,1094,2186,45,1045,744,200,1743,0.7,1321,2.4,840,191,692,1714,0,2104,3,0,0,0,0,0,0,0,3,18,0,3,4,0,0,5,0,0,0,0,0,4,0,0,4,0,0,0,0,0,18,0,0,0,23,0,0,4,0,11,0,6,3,0,0,0,0,0,18,309,5,1731,0,20,0,5,482,312,174,57,237,437,8,21,21,49,39,73,47,37,3,9,5,32,6,62,99,79,0,23,45
118,LGA18020,4616,4612,9225,248,227,473,558,515,1081,262,259,523,181,142,325,422,438,858,378,445,824,528,565,1099,700,703,1408,726,700,1425,462,414,873,142,203,345,475,511,985,3690,3668,7365,264,280,551,3884,3875,7757,104,113,213,3911,3882,7794,50,922,559,200,1387,0.7,1068,2.3,2923,703,2609,6232,0,7365,0,0,0,0,9,0,12,0,0,156,3,6,29,8,5,25,6,0,0,4,12,0,0,0,5,5,0,0,7,20,57,0,0,9,36,0,0,13,3,25,3,0,3,0,19,6,3,6,55,1314,26,5320,19,13,4,33,2443,1370,510,233,744,937,62,80,39,178,33,243,217,125,17,15,18,72,59,225,405,403,28,92,143
119,LGA18050,33273,35334,68605,1927,1843,3774,3625,3417,7039,1453,1447,2899,1485,1835,3322,7535,8582,16114,5762,5853,11614,4442,4421,8858,3069,3059,6127,2203,2423,4621,1263,1589,2849,522,864,1381,150,125,279,18045,18278,36322,13410,15167,28581,24774,25386,50164,6513,7851,14372,25417,26578,51996,35,3500,1442,670,3709,1.0,2854,2.3,18716,10176,22898,51790,9,36322,24,25,1236,4,432,409,797,61,130,5593,70,895,566,224,289,326,192,127,38,1107,871,252,183,95,191,58,39,13,36,217,1594,37,31,43,479,300,9,400,234,3097,59,79,193,100,1206,127,193,105,5791,3702,827,21676,311,315,11009,188,28841,5436,5349,1760,7114,63,56,962,212,2567,932,2476,1962,964,1612,4077,1194,7492,1524,1349,2781,3945,892,1065,2104
120,LGA18100,1847,1762,3608,83,75,165,198,201,399,107,88,197,63,59,119,145,143,290,186,152,340,208,228,439,304,286,587,304,283,588,183,172,354,64,75,143,86,80,169,1588,1501,3094,94,106,200,1698,1606,3302,21,31,55,1696,1607,3297,52,953,575,198,1398,0.7,1046,2.2,1295,316,1073,2687,0,3094,4,0,0,0,0,0,0,0,3,59,0,0,7,6,3,9,0,0,0,0,3,0,0,0,0,4,0,0,0,7,17,0,0,0,12,0,0,3,0,0,0,0,0,0,8,6,3,3,21,316,7,2298,3,4,0,5,993,301,213,102,310,486,13,50,6,80,28,109,73,59,3,13,9,45,24,105,116,166,9,42,48
121,LGA18200,3869,3584,7453,244,234,482,504,440,949,231,196,422,185,171,353,399,408,804,424,406,828,492,474,963,576,524,1098,518,427,942,248,210,464,53,84,136,319,301,622,3080,2883,5969,224,241,464,3232,3022,6255,145,142,288,3268,3052,6318,43,1300,717,200,1765,0.8,1392,2.5,2542,663,1771,4980,0,5969,0,0,0,0,0,0,5,6,0,85,3,6,15,0,0,23,0,0,0,3,36,0,6,0,25,5,0,0,3,16,61,0,3,3,28,0,0,4,3,10,0,3,16,0,9,0,4,4,67,1024,47,3245,12,21,0,28,3088,1015,543,223,767,503,77,161,70,265,98,270,187,133,20,42,30,75,93,200,270,381,29,115,146
122,LGA18250,36400,39215,75613,2053,1894,3946,5231,5102,10338,2171,2024,4193,1996,1952,3951,4511,4856,9375,6017,6720,12731,5150,5679,10832,3926,4239,8161,2989,3537,6527,1638,1971,3611,718,1240,1954,106,102,207,19321,18859,38174,16006,19167,35167,21236,20740,41979,13938,17092,31032,28807,29915,58725,39,3299,1145,571,3235,1.0,2556,2.6,30021,5101,22039,57166,19,38174,85,25,227,39,263,73,8311,279,165,2685,125,215,248,152,2788,2350,772,561,37,268,461,1370,1582,246,1209,18,43,48,461,131,1303,54,138,248,1023,167,4,221,522,720,193,915,611,124,648,458,68,49,2438,2271,3396,30283,2757,979,730,493,32948,4036,7441,3112,10550,80,93,1128,201,1668,1257,2660,2056,949,1389,4787,1080,6981,1139,1402,2816,4516,539,974,1595
123,LGA18350,25313,27397,52709,1296,1272,2567,3178,3061,6235,1493,1487,2976,1103,1050,2155,2329,2420,4747,2578,2757,5332,3222,3539,6753,3405,3829,7235,3553,4220,7778,2419,2746,5167,746,1014,1764,591,611,1205,19397,21059,40452,4577,4902,9477,22267,24090,46361,1741,1944,3685,22537,24410,46945,48,2167,794,430,2096,0.7,1673,2.4,21067,4072,14827,39965,3,40452,27,14,24,13,148,43,176,54,31,2941,62,88,293,64,95,409,45,37,15,153,209,38,40,37,69,59,27,12,408,184,804,36,32,44,252,83,8,360,57,335,56,65,118,22,277,48,80,47,944,2782,496,27918,695,232,162,300,19431,3485,3836,1785,5623,718,235,1566,166,2547,733,2128,1918,900,282,616,488,1855,932,1028,2274,3230,395,943,993
124,LGA18400,27032,26931,53961,1963,1803,3765,4135,3821,7956,1934,1780,3712,1672,1516,3188,3202,3335,6537,3360,3537,6900,3677,3664,7346,3066,3245,6311,2475,2534,5005,1223,1242,2462,324,449,766,1199,1163,2365,22869,22543,45413,2900,3099,5994,24312,24048,48361,1470,1611,3078,24990,24796,49786,37,2363,877,415,2350,0.8,2151,3.0,20885,4572,14037,39491,3,45413,17,23,10,32,47,66,137,98,39,1777,55,33,181,61,12,99,28,24,50,153,210,7,17,130,33,191,30,0,7,118,513,33,13,23,141,47,13,245,24,147,22,0,66,21,122,46,58,46,730,2559,323,32391,88,406,27,161,17398,3168,5076,2484,7557,561,392,2056,422,4441,815,2332,1191,1576,174,549,422,1162,715,1619,2500,2937,275,1168,1221
125,LGA18450,105616,108948,214564,6219,5864,12083,13151,12475,25625,6637,6391,13032,8000,7786,15784,14320,14099,28419,13086,13669,26758,13168,13668,26838,12791,13278,26064,9990,10913,20904,6095,7218,13310,2171,3581,5754,3416,3528,6945,79566,81082,160648,21610,23476,45083,84686,86494,171184,16281,17584,33864,93613,96869,190485,39,2167,754,390,2151,0.8,1682,2.5,74178,18196,70768,163139,51,160648,217,332,208,44,507,525,1878,750,172,8003,233,216,1023,659,209,2315,294,319,441,504,2317,197,321,705,366,361,36,275,327,698,2313,2954,460,87,1332,347,46,1319,149,757,299,102,746,591,831,964,406,134,6740,8830,2472,107809,1970,5604,155,980,83214,12369,16341,8443,24785,296,1795,5621,992,9045,1654,8369,6889,4377,1118,3460,1193,6598,3010,7032,10985,16950,1458,3676,3512
126,LGA18500,24952,28543,53496,1210,1217,2437,2763,2755,5523,1388,1279,2670,1305,1609,2918,3744,4667,8405,3401,3821,7215,3248,3738,6990,2922,3248,6173,2567,3004,5573,1715,2160,3876,679,1042,1724,93,82,176,15311,17488,32804,8522,9865,18389,20020,22507,42520,3682,4616,8295,21225,24174,45395,41,3900,1619,695,4561,0.9,3192,2.3,17876,5601,17186,40661,3,32804,17,20,282,11,229,69,1099,57,125,3458,73,360,363,145,553,284,141,137,32,344,362,189,122,69,280,29,4,17,20,123,1429,15,19,64,285,218,5,225,292,2213,78,85,151,69,904,140,71,85,3020,2305,710,20616,315,260,7509,163,20083,3835,3825,1674,5501,127,64,667,121,1214,716,1796,1196,531,1094,3803,1327,5777,851,1057,1928,3165,668,625,1492
127,LGA18710,8500,8781,17281,470,459,928,1276,1217,2494,577,551,1133,412,373,780,776,817,1591,977,1198,2181,1306,1398,2709,1180,1117,2300,931,963,1897,458,477,935,133,211,338,283,276,552,7146,7395,14535,904,980,1879,7730,8017,15750,339,366,707,7876,8189,16059,43,2167,1050,350,2701,0.8,2289,2.7,6781,1560,4203,12540,0,14535,11,0,10,9,35,11,28,33,12,613,7,11,65,14,9,53,13,6,0,46,30,6,13,3,24,12,0,0,8,35,170,0,12,32,41,19,0,56,8,60,18,0,26,0,81,19,20,13,204,857,92,8774,51,59,18,78,7063,1151,1518,745,2260,633,19,238,145,1094,114,562,529,197,110,100,120,739,220,1754,817,889,143,314,266
128,LGA19399,530,486,1016,34,19,58,68,62,127,18,19,34,8,16,24,51,63,119,81,69,150,68,74,136,81,85,164,82,51,135,30,29,55,15,9,20,17,18,36,441,385,824,50,57,104,468,429,893,25,21,39,462,421,884,45,1300,900,263,1927,0.8,1638,2.5,340,94,231,661,0,824,0,0,0,0,7,7,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,23,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,89,8,457,0,0,0,0,451,106,76,25,108,190,3,7,4,25,0,17,108,24,0,0,3,10,15,57,22,27,12,6,17
129,LGA19499,6375,4997,11371,258,203,460,382,412,798,253,279,532,411,418,829,1164,1022,2187,1108,749,1859,1010,666,1678,949,698,1648,648,404,1055,166,104,277,19,32,49,712,527,1236,3314,2601,5912,971,936,1908,3530,2889,6417,576,579,1150,3621,2947,6569,0,0,0,0,0,0.0,0,0.0,0,0,0,0,7,5912,6,0,21,5,26,17,86,8,13,318,23,56,30,10,32,78,32,28,10,29,31,14,21,20,67,6,3,0,17,37,194,4,14,16,50,14,4,35,10,55,12,43,12,10,64,34,6,4,260,3545,134,3064,64,163,16,79,3736,4113,0,0,0,130,41,135,23,246,57,196,235,134,40,78,20,187,113,150,137,287,76,68,166
130,LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,1649,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,LGA20110,6562,6671,13235,283,251,539,769,716,1488,359,303,666,265,255,516,605,590,1194,702,756,1459,850,919,1760,1079,1079,2151,1008,967,1982,489,590,1080,156,239,396,68,73,137,5171,5162,10335,886,990,1877,5702,5725,11428,416,499,916,5819,5929,11751,49,1473,731,275,1769,0.7,1340,2.3,4833,1366,3497,9701,0,10335,0,0,3,3,52,7,19,12,0,463,5,22,111,5,11,39,15,0,0,22,233,9,5,3,27,6,0,19,30,80,166,0,0,8,85,13,0,59,4,46,6,10,15,0,53,4,11,8,172,1022,82,5418,62,33,9,71,6415,1156,878,380,1261,521,26,483,94,546,101,559,828,210,31,107,93,331,183,367,528,754,164,171,214
132,LGA20260,6273,5606,11880,293,283,578,646,579,1225,290,269,557,293,268,560,818,620,1438,732,588,1312,814,706,1520,923,820,1745,863,779,1644,457,465,915,154,222,371,151,76,225,5083,4641,9720,762,576,1342,4859,4971,9836,297,299,595,4887,4981,9866,46,1083,685,245,1651,0.7,1252,2.2,3753,1025,3464,8246,10,9720,3,3,0,0,6,6,37,7,8,228,10,4,45,10,9,127,19,5,5,13,28,0,9,6,5,4,4,0,14,37,187,4,35,4,84,6,38,36,7,14,10,46,10,9,25,31,8,3,143,817,55,4563,84,79,11,62,5302,1719,683,317,1001,767,69,571,43,267,126,358,292,130,29,34,55,106,106,516,330,821,73,132,157
133,LGA20570,54740,59025,113763,3324,3281,6608,7614,7101,14719,3508,3423,6927,3558,3646,7198,7689,7844,15533,6634,7438,14072,6584,7264,13845,6276,7039,13314,5499,6431,11927,3027,3717,6743,1030,1848,2877,1020,1080,2094,45759,49457,95207,6185,6685,12871,48059,52116,100172,3914,4062,7976,49339,53459,102797,39,1477,743,297,1871,0.7,1429,2.4,35830,10771,37075,83673,18,95207,93,15,43,21,140,32,677,129,48,2454,70,61,310,66,72,1846,90,72,51,181,173,88,66,14,249,70,35,17,212,495,969,15,184,39,631,56,18,372,76,268,249,53,159,21,314,170,71,93,1188,5676,873,47729,1320,765,56,1105,54585,7325,8436,3304,11742,890,402,3834,540,5057,977,5382,3825,1787,737,905,635,2859,1433,3403,5742,10150,1013,1835,1699
134,LGA20660,61405,64835,126236,3625,3426,7052,7827,7556,15381,3621,3207,6832,3625,3380,7008,7983,8269,16254,8836,9329,18164,8224,8698,16921,7010,7849,14862,5883,6811,12694,3487,4194,7678,1279,2121,3400,437,425,866,44755,46675,91428,14677,16241,30915,46398,48237,94634,12940,14605,27548,54384,57213,111589,40,2167,915,399,2521,0.8,2027,2.5,47199,10544,39062,96807,30,91428,64,110,79,54,248,101,3780,362,245,3396,95,142,512,1072,516,2450,309,753,89,439,2014,262,252,353,1159,206,141,36,172,233,1482,427,176,64,696,251,23,554,339,537,930,192,316,106,538,769,93,71,3671,3895,2400,56230,2317,3045,185,807,55038,6219,10944,5516,16457,195,109,3376,638,5876,1635,5197,3059,2146,1175,3121,936,6774,1664,4847,7142,10480,1213,2049,2285
135,LGA20740,19834,20955,40789,920,921,1841,2243,2084,4328,935,908,1842,744,684,1427,1699,1886,3585,2025,2215,4242,2339,2480,4815,3122,3549,6672,3523,3664,7185,1787,1852,3641,504,706,1218,247,218,465,15355,16162,31517,2986,3192,6178,17553,18430,35984,958,1102,2060,17677,18533,36214,51,1500,626,300,1485,0.7,1163,2.2,14686,3753,11835,30261,3,31517,6,3,15,19,59,38,84,29,23,2140,18,43,227,82,22,210,43,5,0,106,268,34,10,10,55,73,46,20,36,275,613,14,10,21,153,40,0,238,14,133,82,5,82,10,126,52,63,22,496,3094,390,16007,162,72,33,206,20433,3488,2472,1089,3565,730,69,774,312,2124,346,1720,1348,454,141,287,283,856,581,748,1424,2440,548,643,670
136,LGA20830,28035,29590,57626,1764,1746,3507,3841,3610,7454,1590,1615,3208,1455,1437,2884,3377,3758,7130,3186,3378,6567,3304,3620,6921,3583,3989,7577,3461,3618,7078,1935,2008,3940,537,817,1359,363,367,724,23015,24173,47188,3283,3665,6945,25121,26484,51600,1311,1506,2819,25265,26676,51936,41,1600,726,320,1874,0.7,1495,2.5,20853,5421,15930,42202,5,47188,3,23,8,12,69,18,136,40,16,1965,34,12,268,32,21,332,56,17,11,88,178,30,16,11,46,43,61,3,5,395,651,5,31,34,206,60,22,282,36,213,155,105,91,17,137,86,65,52,745,3496,462,24003,221,192,31,299,28058,4352,4410,2001,6408,2106,211,1797,475,3371,608,2272,1333,943,267,459,303,1208,704,1393,2576,3903,418,1198,1063
