,LGA_CODE_2021,G01_Total_Persons_Males,G01_Total_Persons_Females,G01_Total_Persons_Persons,G01_Age_groups_0_4_years_Males,G01_Age_groups_0_4_years_Females,G01_Age_groups_0_4_years_Persons,G01_Age_groups_5_14_years_Males,G01_Age_groups_5_14_years_Females,G01_Age_groups_5_14_years_Persons,G01_Age_groups_15_19_years_Males,G01_Age_groups_15_19_years_Females,G01_Age_groups_15_19_years_Persons,G01_Age_groups_20_24_years_Males,G01_Age_groups_20_24_years_Females,G01_Age_groups_20_24_years_Persons,G01_Age_groups_25_34_years_Males,G01_Age_groups_25_34_years_Females,G01_Age_groups_25_34_years_Persons,G01_Age_groups_35_44_years_Males,G01_Age_groups_35_44_years_Females,G01_Age_groups_35_44_years_Persons,G01_Age_groups_45_54_years_Males,G01_Age_groups_45_54_years_Females,G01_Age_groups_45_54_years_Persons,G01_Age_groups_55_64_years_Males,G01_Age_groups_55_64_years_Females,G01_Age_groups_55_64_years_Persons,G01_Age_groups_65_74_years_Males,G01_Age_groups_65_74_years_Females,G01_Age_groups_65_74_years_Persons,G01_Age_groups_75_84_years_Males,G01_Age_groups_75_84_years_Females,G01_Age_groups_75_84_years_Persons,G01_Age_groups_85_years_and_over_Males,G01_Age_groups_85_years_and_over_Females,G01_Age_groups_85_years_and_over_Persons,G01_Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Males,G01_Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Females,G01_Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Persons,G01_Birthplace_Australia_Males,G01_Birthplace_Australia_Females,G01_Birthplace_Australia_Persons,G01_Birthplace_Elsewhere_Males,G01_Birthplace_Elsewhere_Females,G01_Birthplace_Elsewhere_Persons,G01_Language_used_at_home_English_only_Males,G01_Language_used_at_home_English_only_Females,G01_Language_used_at_home_English_only_Persons,G01_Language_used_at_home_Other_Language_Males,G01_Language_used_at_home_Other_Language_Females,G01_Language_used_at_home_Other_Language_Persons,G01_Australian_citizen_Males,G01_Australian_citizen_Females,G01_Australian_citizen_Persons,G02_Median_age_of_persons,G02_Median_mortgage_repayment_monthly,G02_Median_total_personal_income_weekly,G02_Median_rent_weekly,G02_Median_total_family_income_weekly,G02_Average_number_of_Persons_per_bedroom,G02_Median_total_household_income_weekly,G02_Average_household_size,G06_PERSONS_Total_Married_in_a_registered_marriage,G06_PERSONS_Total_Married_in_a_de_facto_marriage,G06_PERSONS_Total_Not_married,G06_PERSONS_Total_Total,G09F_PERSONS_Afghanistan_Age_Total,G09F_PERSONS_Australia_Total,G09F_PERSONS_Bangladesh_Total,G09F_PERSONS_Bosnia_and_Herzegovina_Total,G09F_PERSONS_Brazil_Total,G09F_PERSONS_Cambodia_Total,G09F_PERSONS_Canada_Total,G09F_PERSONS_Chile_Total,G09F_PERSONS_China_excludes_SARs_and_Taiwan_Total,G09F_PERSONS_Croatia_Total,G09F_PERSONS_Egypt_Total,G09F_PERSONS_England_Total,G09F_PERSONS_Fiji_Total,G09F_PERSONS_France_Total,G09G_PERSONS_Germany_Total,G09G_PERSONS_Greece_Total,G09G_PERSONS_Hong_Kong_SAR_of_China_Total,G09G_PERSONS_India_Total,G09G_PERSONS_Indonesia_Total,G09G_PERSONS_Iran_Total,G09G_PERSONS_Iraq_Total,G09G_PERSONS_Ireland_Total,G09G_PERSONS_Italy_Total,G09G_PERSONS_Japan_Total,G09G_PERSONS_Korea_Republic_of_South_Total,G09G_PERSONS_Lebanon_Total,G09G_PERSONS_Malaysia_Total,G09G_PERSONS_Malta_Total,G09G_PERSONS_Mauritius_Total,G09G_PERSONS_Myanmar_Total,G09G_PERSONS_Nepal_Total,G09G_PERSONS_Netherlands_Total,G09G_PERSONS_New_Zealand_Total,G09G_PERSONS_North_Macedonia_Total,G09H_PERSONS_Pakistan_Total,G09H_PERSONS_Papua_New_Guinea_Total,G09H_PERSONS_Philippines_Total,G09H_PERSONS_Poland_Total,G09H_PERSONS_Samoa_Total,G09H_PERSONS_Scotland_Total,G09H_PERSONS_Singapore_Total,G09H_PERSONS_South_Africa_Total,G09H_PERSONS_Sri_Lanka_Total,G09H_PERSONS_Taiwan_Total,G09H_PERSONS_Thailand_Total,G09H_PERSONS_Turkey_Total,G09H_PERSONS_United_States_of_America_Total,G09H_PERSONS_Vietnam_Total,G09H_PERSONS_Wales_Total,G09H_PERSONS_Zimbabwe_Total,G09H_PERSONS_Born_elsewhere_Total,G09H_PERSONS_Country_of_birth_not_stated_Total,G14_Buddhism_Persons,G14_Christianity_Total_Persons,G14_Hinduism_Persons,G14_Islam_Persons,G14_Judaism_Persons,G14_Other_Religions_Total_Persons,G14_Secular_Beliefs_and_Other_Spiritual_Beliefs_and_No_Religious_Affiliation_Total_Persons,G14_Religious_affiliation_not_stated_Persons,G29_Couple_family_with_children_under_15_and_Total_Families,G29_Couple_family_with_no_children_under_15_and_Total_Families,G29_Couple_family_with_Total_Families,G56A_Agriculture_Forestry_and_Fishing_Total,G56A_Mining_Total,G56A_Manufacturing_Total,G56A_Electricity_Gas_Water_and_Waste_Services_Total,G56A_Construction_Total,G56A_Wholesale_Trade_Total,G56A_Retail_Trade_Total,G56A_Accommodation_and_Food_Services_Total,G56A_Transport_Postal_and_Warehousing_Total,G56A_Information_Media_and_Telecommunications_Total,G56A_Financial_and_Insurance_Services_Total,G56A_Rental_Hiring_and_Real_Estate_Services_Total,G56A_Professional_Scientific_and_Technical_Services_Total,G56A_Administrative_and_Support_Services_Total,G56A_Public_Administration_and_Safety_Total,G56A_Education_and_Training_Total,G56A_Health_Care_and_Social_Assistance_Total,G56A_Arts_and_Recreation_Services_Total,G56A_Other_Services_Total,G56A_Inadequately_described_Not_stated_Total
10,LGA10800,2790,2758,5547,184,172,349,374,363,737,138,152,291,128,123,251,299,278,582,296,331,627,319,324,642,433,357,791,348,332,681,200,213,411,72,115,176,192,175,365,2353,2329,4678,153,159,314,2460,2438,4897,67,83,151,2465,2450,4916,43,1083,730,200,1811,0.7,1326,2.3,1952,430,1447,3840,0,4678,0,0,0,0,6,0,8,0,0,62,0,0,12,0,4,15,3,0,3,4,0,0,0,0,0,0,0,0,9,6,38,0,0,12,38,0,0,0,0,27,5,4,7,0,11,0,0,0,27,556,17,3663,21,10,0,16,1221,595,409,140,551,635,291,62,22,158,51,189,146,84,10,15,16,53,52,127,209,199,7,102,108
11,LGA10850,3721,3778,7497,241,208,448,535,534,1073,247,218,462,161,156,314,371,418,794,363,415,777,486,519,1009,558,557,1106,467,412,877,242,240,477,69,94,165,226,209,433,3241,3286,6525,224,240,468,3427,3476,6908,54,70,121,3414,3462,6877,43,1517,765,270,1974,0.8,1547,2.5,2635,676,2002,5318,0,6525,0,0,0,0,6,0,9,0,0,151,5,0,19,0,5,3,5,3,0,9,3,0,0,0,0,5,0,0,0,19,82,0,4,5,14,3,0,19,5,11,4,6,9,0,12,0,7,5,39,506,32,4388,3,20,3,32,2424,589,585,252,839,411,253,232,40,263,108,290,155,127,19,29,37,152,86,240,281,489,38,130,130
12,LGA10900,37865,40258,78121,1978,1905,3889,4979,4765,9744,2472,2194,4665,1834,1584,3421,3492,3629,7126,4582,5006,9583,5261,5695,10957,5232,5971,11205,5014,5497,10517,2362,2897,5258,657,1108,1763,1011,1091,2101,30150,31753,61900,6460,7161,13617,34324,36072,70398,2258,2803,5061,34945,37076,72020,45,2035,817,400,2235,0.7,1756,2.4,29464,7299,23494,60253,9,61900,12,17,58,40,214,132,263,74,50,4265,79,159,538,68,93,331,105,35,27,310,160,119,81,65,170,86,44,16,48,330,1168,9,37,73,356,202,12,520,83,345,74,33,172,27,534,169,121,32,1670,2602,1089,34467,279,242,180,576,37079,4213,6070,3110,9183,250,123,1664,459,3143,774,2879,2177,1255,578,1024,536,2700,996,3260,5476,5884,765,1234,1112
13,LGA10950,1240,1225,2467,78,81,156,157,159,317,87,65,147,83,59,140,149,175,320,116,105,224,165,176,336,172,148,321,120,103,225,94,109,208,31,39,71,205,232,440,1059,1058,2118,61,79,139,1092,1089,2183,41,50,89,1097,1096,2199,41,1083,774,200,1931,0.8,1444,2.4,762,272,696,1728,0,2118,0,0,0,0,3,0,3,0,0,21,10,0,4,0,0,13,5,0,0,9,0,0,0,0,0,0,0,0,7,0,19,0,5,6,5,0,0,0,0,6,0,0,8,0,0,4,0,7,6,206,13,1599,26,12,0,0,611,206,190,82,270,271,188,9,17,49,15,78,57,33,3,6,0,16,29,91,135,114,4,23,56
14,LGA11150,1164,1178,2340,93,82,178,169,168,342,65,62,134,64,70,134,137,179,311,130,138,273,152,144,303,164,152,315,112,101,211,52,53,106,14,22,34,345,365,708,887,892,1785,55,54,107,913,928,1840,50,40,93,921,930,1852,37,912,862,180,1899,0.8,1559,2.5,564,240,627,1432,0,1785,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,25,4,0,0,5,0,0,0,0,4,0,0,0,21,0,10,0,10,0,7,0,0,7,0,0,0,0,0,0,4,0,0,0,11,448,4,1351,28,9,0,9,488,449,177,43,219,179,7,13,12,50,17,66,43,19,10,7,0,15,31,150,150,110,14,26,58
15,LGA11200,676,679,1356,48,43,88,98,83,186,45,36,80,39,41,76,89,121,205,64,65,127,71,96,169,112,94,209,74,62,132,26,26,51,8,14,17,340,362,697,536,539,1069,30,27,56,557,546,1094,20,24,49,554,553,1112,36,754,553,150,1232,0.8,962,2.3,203,162,469,835,0,1069,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,223,3,594,11,3,0,8,505,231,63,16,77,105,0,0,0,25,0,19,17,16,0,4,4,5,18,65,82,71,3,9,11
16,LGA11250,8565,9020,17588,486,483,972,1008,1019,2030,519,452,971,475,424,896,1050,1128,2182,921,962,1883,1015,993,2010,1244,1320,2570,1101,1112,2214,542,735,1272,205,388,590,858,891,1751,7393,7726,15119,407,493,907,7548,7938,15480,264,334,596,7634,8034,15670,44,867,647,220,1623,0.7,1173,2.2,4800,1720,6151,12669,0,15119,4,4,0,0,10,0,18,4,3,137,9,4,35,8,0,67,5,3,0,7,25,4,3,0,10,22,0,5,7,18,72,0,0,10,201,0,0,22,0,17,8,0,14,0,27,7,6,10,71,1567,79,6903,67,55,3,57,8663,1770,940,475,1417,67,789,148,127,441,153,777,609,276,47,67,56,125,231,478,602,1566,85,285,242
17,LGA11300,19657,20556,40217,766,763,1532,1583,1682,3271,861,970,1829,2613,2383,5006,4507,4297,8805,2530,2477,5002,2087,2416,4503,1987,2121,4109,1407,1618,3028,853,1107,1960,461,718,1177,76,86,160,7435,7458,14891,11194,12023,23216,6538,6105,12641,12003,13274,25278,12246,13176,25417,34,2500,739,500,2101,1.1,1867,2.7,13105,2709,16774,32589,0,14891,75,26,79,86,47,64,7291,161,105,381,120,52,76,346,832,1249,411,55,34,128,902,126,985,610,771,34,21,96,3060,22,363,20,80,44,604,75,12,54,139,69,215,462,349,89,104,1076,3,5,1213,2115,3150,15131,4038,778,43,181,14049,2855,2476,1645,4129,35,22,809,83,1183,489,1739,1702,789,395,1390,392,2076,846,770,1501,2743,232,469,1117
18,LGA11350,17313,18800,36116,877,857,1733,2052,2029,4079,862,840,1695,648,832,1483,2240,2629,4871,2432,2719,5150,2403,2796,5197,2472,2726,5197,2318,2171,4488,802,833,1634,212,370,584,343,343,685,11776,12670,24450,3712,4220,7928,13942,15051,28996,1593,1873,3467,13999,15179,29179,43,2167,764,520,1926,0.9,1602,2.5,9013,4485,12183,25681,4,24450,0,3,287,9,231,88,36,17,16,1915,23,280,462,17,22,97,57,13,0,114,239,196,18,13,44,14,12,3,17,176,850,3,3,46,100,34,0,123,37,229,22,18,92,14,476,26,43,28,1355,3727,753,8502,135,70,429,315,21325,4591,2340,924,3261,560,50,653,88,1510,275,1635,2185,356,309,264,324,1481,678,480,1476,2360,418,547,1077
19,LGA11400,6851,6915,13766,380,375,751,1054,993,2043,450,426,876,335,289,628,528,610,1139,747,796,1539,899,938,1832,974,1011,1987,882,795,1677,480,485,960,132,204,331,350,336,693,5861,5918,11776,397,415,810,6233,6264,12493,123,161,287,6229,6288,12511,44,1625,768,250,1984,0.8,1538,2.6,5377,1005,3331,9706,0,11776,0,6,0,3,13,0,15,6,0,233,0,12,35,0,8,34,7,4,0,12,21,5,4,0,14,0,0,0,7,18,122,0,3,5,25,5,0,20,5,44,0,6,8,3,30,3,12,4,63,1170,45,8754,17,22,5,48,3695,1184,1096,499,1590,1129,251,438,70,549,124,420,312,234,28,80,61,275,143,420,566,882,45,238,248
